TIME GRAPH   ORDER   SIZE    AG
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00032	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00033	   Digraph	021	180	     fbell	
0.00033	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00031	   Digraph	021	180	     fbell	
0.00065	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00062	   Digraph	021	180	      dijk	
0.00063	   Digraph	021	180	      dijk	
0.00063	   Digraph	021	180	      dijk	
0.00063	   Digraph	021	180	      dijk	
0.00063	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00061	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00064	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00061	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00061	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00063	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00061	   Digraph	021	180	      dijk	
0.00061	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00063	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00062	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00060	   Digraph	021	180	      dijk	
0.00502	   Digraph	021	180	      dijk	
0.00064	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00064	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00063	   Digraph	021	180	      dijk	
0.00063	   Digraph	021	180	      dijk	
0.00062	   Digraph	021	180	      dijk	
0.00059	   Digraph	021	180	      dijk	
0.00063	   Digraph	021	180	      dijk	
0.01215	   Digraph	022	180	      bell	
0.01453	   Digraph	022	180	      bell	
0.01025	   Digraph	022	180	      bell	
0.01370	   Digraph	022	180	      bell	
0.00917	   Digraph	022	180	      bell	
0.02063	   Digraph	022	180	      bell	
0.00804	   Digraph	022	180	      bell	
0.01294	   Digraph	022	180	      bell	
0.00946	   Digraph	022	180	      bell	
0.01367	   Digraph	022	180	      bell	
0.00923	   Digraph	022	180	      bell	
0.01365	   Digraph	022	180	      bell	
0.00939	   Digraph	022	180	      bell	
0.01340	   Digraph	022	180	      bell	
0.01378	   Digraph	022	180	      bell	
0.00904	   Digraph	022	180	      bell	
0.01383	   Digraph	022	180	      bell	
0.00910	   Digraph	022	180	      bell	
0.01398	   Digraph	022	180	      bell	
0.00926	   Digraph	022	180	      bell	
0.01912	   Digraph	022	180	      bell	
0.01187	   Digraph	022	180	      bell	
0.01619	   Digraph	022	180	      bell	
0.00811	   Digraph	022	180	      bell	
0.01335	   Digraph	022	180	      bell	
0.01386	   Digraph	022	180	      bell	
0.00908	   Digraph	022	180	      bell	
0.01390	   Digraph	022	180	      bell	
0.00909	   Digraph	022	180	      bell	
