REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.04824	0.00173	0.04582	0.05601	   Digraph	073	180	      bell	
100	0.00050	0.00002	0.00047	0.00056	   Digraph	073	180	     fbell	
100	0.00205	0.00062	0.00189	0.00642	   Digraph	073	180	      dijk	
100	0.05106	0.00227	0.04858	0.05715	   Digraph	074	180	      bell	
100	0.00011	0.00001	0.00010	0.00017	   Digraph	074	180	     fbell	
100	0.00146	0.00065	0.00128	0.00604	   Digraph	074	180	      dijk	
100	0.05024	0.00208	0.04750	0.06461	   Digraph	075	180	      bell	
100	0.00060	0.00046	0.00053	0.00522	   Digraph	075	180	     fbell	
100	0.00212	0.00048	0.00199	0.00682	   Digraph	075	180	      dijk	
100	0.05139	0.00223	0.04856	0.05900	   Digraph	076	180	      bell	
100	0.00058	0.00046	0.00051	0.00515	   Digraph	076	180	     fbell	
100	0.00216	0.00048	0.00202	0.00687	   Digraph	076	180	      dijk	
100	0.05259	0.00245	0.04984	0.06759	   Digraph	077	180	      bell	
100	0.00048	0.00002	0.00047	0.00055	   Digraph	077	180	     fbell	
100	0.00227	0.00070	0.00201	0.00676	   Digraph	077	180	      dijk	
100	0.05317	0.00199	0.05179	0.05891	   Digraph	078	180	      bell	
100	0.00051	0.00002	0.00049	0.00058	   Digraph	078	180	     fbell	
100	0.00228	0.00066	0.00208	0.00694	   Digraph	078	180	      dijk	
100	0.05387	0.00239	0.05082	0.06071	   Digraph	079	180	      bell	
100	0.00051	0.00002	0.00049	0.00057	   Digraph	079	180	     fbell	
100	0.00230	0.00065	0.00210	0.00687	   Digraph	079	180	      dijk	
100	0.05547	0.00287	0.05114	0.06363	   Digraph	080	180	      bell	
100	0.00038	0.00044	0.00032	0.00477	   Digraph	080	180	     fbell	
100	0.00203	0.00046	0.00189	0.00652	   Digraph	080	180	      dijk	
100	0.05470	0.00248	0.05098	0.06350	   Digraph	081	180	      bell	
100	0.00051	0.00001	0.00049	0.00056	   Digraph	081	180	     fbell	
100	0.00233	0.00152	0.00207	0.01676	   Digraph	081	180	      dijk	
100	0.05536	0.00238	0.05220	0.06132	   Digraph	082	180	      bell	
100	0.00065	0.00097	0.00053	0.01034	   Digraph	082	180	     fbell	
100	0.00230	0.00064	0.00212	0.00679	   Digraph	082	180	      dijk	
100	0.05738	0.00291	0.05298	0.07051	   Digraph	083	180	      bell	
100	0.00053	0.00002	0.00051	0.00061	   Digraph	083	180	     fbell	
100	0.00241	0.00160	0.00212	0.01710	   Digraph	083	180	      dijk	
100	0.05951	0.00271	0.05556	0.06728	   Digraph	084	180	      bell	
100	0.00013	0.00001	0.00012	0.00019	   Digraph	084	180	     fbell	
100	0.00167	0.00146	0.00140	0.01546	   Digraph	084	180	      dijk	
100	0.05930	0.00292	0.05507	0.07014	   Digraph	085	180	      bell	
100	0.00061	0.00045	0.00053	0.00511	   Digraph	085	180	     fbell	
100	0.00248	0.00148	0.00222	0.01637	   Digraph	085	180	      dijk	
100	0.05980	0.00301	0.05492	0.07000	   Digraph	086	180	      bell	
100	0.00057	0.00044	0.00050	0.00498	   Digraph	086	180	     fbell	
100	0.00235	0.00045	0.00219	0.00678	   Digraph	086	180	      dijk	
100	0.05976	0.00260	0.05511	0.06627	   Digraph	087	180	      bell	
100	0.00062	0.00002	0.00059	0.00068	   Digraph	087	180	     fbell	
100	0.00261	0.00151	0.00228	0.01629	   Digraph	087	180	      dijk	
100	0.06080	0.00282	0.05540	0.06886	   Digraph	088	180	      bell	
100	0.00053	0.00002	0.00051	0.00065	   Digraph	088	180	     fbell	
100	0.00266	0.00145	0.00228	0.01568	   Digraph	088	180	      dijk	
100	0.06666	0.00252	0.06356	0.07565	   Digraph	089	180	      bell	
100	0.00018	0.00044	0.00013	0.00452	   Digraph	089	180	     fbell	
100	0.00163	0.00048	0.00147	0.00626	   Digraph	089	180	      dijk	
100	0.06415	0.00256	0.05830	0.07263	   Digraph	090	180	      bell	
100	0.00014	0.00001	0.00012	0.00018	   Digraph	090	180	     fbell	
100	0.00178	0.00143	0.00151	0.01530	   Digraph	090	180	      dijk	
100	0.06308	0.00268	0.05815	0.07117	   Digraph	091	180	      bell	
100	0.00057	0.00044	0.00050	0.00496	   Digraph	091	180	     fbell	
100	0.00261	0.00063	0.00240	0.00701	   Digraph	091	180	      dijk	
100	0.06422	0.00289	0.05897	0.07437	   Digraph	092	180	      bell	
100	0.00053	0.00044	0.00046	0.00490	   Digraph	092	180	     fbell	
100	0.00260	0.00064	0.00240	0.00711	   Digraph	092	180	      dijk	
100	0.06809	0.00256	0.06202	0.08138	   Digraph	093	180	      bell	
100	0.00014	0.00002	0.00013	0.00022	   Digraph	093	180	     fbell	
100	0.00180	0.00066	0.00160	0.00640	   Digraph	093	180	      dijk	
100	0.06916	0.00191	0.06426	0.08195	   Digraph	094	180	      bell	
100	0.00014	0.00001	0.00013	0.00018	   Digraph	094	180	     fbell	
100	0.00170	0.00050	0.00154	0.00662	   Digraph	094	180	      dijk	
100	0.06832	0.00267	0.06224	0.07850	   Digraph	095	180	      bell	
100	0.00051	0.00002	0.00049	0.00058	   Digraph	095	180	     fbell	
100	0.00267	0.00066	0.00245	0.00731	   Digraph	095	180	      dijk	
100	0.07144	0.00198	0.06917	0.07912	   Digraph	096	180	      bell	
100	0.00015	0.00001	0.00014	0.00020	   Digraph	096	180	     fbell	
100	0.00177	0.00066	0.00156	0.00643	   Digraph	096	180	      dijk	
100	0.07045	0.00276	0.06396	0.08060	   Digraph	097	180	      bell	
100	0.00047	0.00002	0.00044	0.00055	   Digraph	097	180	     fbell	
100	0.00250	0.00047	0.00234	0.00716	   Digraph	097	180	      dijk	
100	0.07089	0.00314	0.06559	0.08398	   Digraph	098	180	      bell	
100	0.00045	0.00002	0.00042	0.00052	   Digraph	098	180	     fbell	
100	0.00261	0.00063	0.00239	0.00698	   Digraph	098	180	      dijk	
100	0.07104	0.00182	0.06622	0.07964	   Digraph	099	180	      bell	
100	0.00040	0.00001	0.00038	0.00047	   Digraph	099	180	     fbell	
100	0.00248	0.00061	0.00227	0.00681	   Digraph	099	180	      dijk	
100	0.07148	0.00268	0.06611	0.07976	   Digraph	100	180	      bell	
100	0.00061	0.00046	0.00053	0.00523	   Digraph	100	180	     fbell	
100	0.00296	0.00081	0.00264	0.00836	   Digraph	100	180	      dijk	
100	0.07348	0.00206	0.07040	0.08311	   Digraph	101	180	      bell	
100	0.00015	0.00001	0.00014	0.00020	   Digraph	101	180	     fbell	
100	0.00201	0.00154	0.00165	0.01597	   Digraph	101	180	      dijk	
100	0.07247	0.00168	0.06773	0.08031	   Digraph	102	180	      bell	
100	0.00049	0.00002	0.00047	0.00057	   Digraph	102	180	     fbell	
100	0.00299	0.00069	0.00264	0.00729	   Digraph	102	180	      dijk	
100	0.07505	0.00238	0.06865	0.08389	   Digraph	103	180	      bell	
100	0.00076	0.00002	0.00074	0.00086	   Digraph	103	180	     fbell	
100	0.00288	0.00065	0.00267	0.00750	   Digraph	103	180	      dijk	
100	0.07647	0.00169	0.07456	0.08501	   Digraph	104	180	      bell	
100	0.00049	0.00046	0.00042	0.00506	   Digraph	104	180	     fbell	
100	0.00270	0.00151	0.00240	0.01685	   Digraph	104	180	      dijk	
100	0.07752	0.00237	0.07362	0.08362	   Digraph	105	180	      bell	
100	0.00015	0.00001	0.00014	0.00024	   Digraph	105	180	     fbell	
100	0.00193	0.00063	0.00172	0.00628	   Digraph	105	180	      dijk	
100	0.07777	0.00353	0.07550	0.10229	   Digraph	106	180	      bell	
100	0.00043	0.00002	0.00040	0.00049	   Digraph	106	180	     fbell	
100	0.00284	0.00081	0.00258	0.00753	   Digraph	106	180	      dijk	
100	0.07919	0.00224	0.07638	0.08797	   Digraph	107	180	      bell	
100	0.00065	0.00123	0.00050	0.01290	   Digraph	107	180	     fbell	
100	0.00301	0.00067	0.00279	0.00780	   Digraph	107	180	      dijk	
100	0.08109	0.00255	0.07751	0.08950	   Digraph	108	180	      bell	
100	0.00049	0.00047	0.00041	0.00516	   Digraph	108	180	     fbell	
100	0.00283	0.00068	0.00261	0.00757	   Digraph	108	180	      dijk	
100	0.08198	0.00273	0.07862	0.09448	   Digraph	109	180	      bell	
100	0.00051	0.00046	0.00043	0.00513	   Digraph	109	180	     fbell	
100	0.00286	0.00067	0.00264	0.00758	   Digraph	109	180	      dijk	
100	0.08419	0.00284	0.08095	0.09561	   Digraph	110	180	      bell	
100	0.00016	0.00001	0.00015	0.00022	   Digraph	110	180	     fbell	
100	0.00211	0.00093	0.00184	0.01002	   Digraph	110	180	      dijk	
100	0.08226	0.00280	0.07971	0.09216	   Digraph	111	180	      bell	
100	0.00052	0.00002	0.00049	0.00058	   Digraph	111	180	     fbell	
100	0.00305	0.00081	0.00277	0.00771	   Digraph	111	180	      dijk	
100	0.08409	0.00248	0.08127	0.09121	   Digraph	112	180	      bell	
