0.00034	   Digraph	005	010	     floyd	
0.00031	   Digraph	005	010	     floyd	
0.00123	   Digraph	005	011	   bellman	
0.00137	   Digraph	005	011	   bellman	
0.00122	   Digraph	005	011	   bellman	
0.00189	   Digraph	005	011	   bellman	
0.00223	   Digraph	005	011	   bellman	
0.00210	   Digraph	005	011	   bellman	
0.00136	   Digraph	005	011	   bellman	
0.00144	   Digraph	005	011	   bellman	
0.00137	   Digraph	005	011	   bellman	
0.00127	   Digraph	005	011	   bellman	
0.00140	   Digraph	005	011	   bellman	
0.00206	   Digraph	005	011	   bellman	
0.00224	   Digraph	005	011	   bellman	
0.00650	   Digraph	005	011	   bellman	
0.00129	   Digraph	005	011	   bellman	
0.00145	   Digraph	005	011	   bellman	
0.00119	   Digraph	005	011	   bellman	
0.00117	   Digraph	005	011	   bellman	
0.00120	   Digraph	005	011	   bellman	
0.00122	   Digraph	005	011	   bellman	
0.00121	   Digraph	005	011	   bellman	
0.00143	   Digraph	005	011	   bellman	
0.00121	   Digraph	005	011	   bellman	
0.00118	   Digraph	005	011	   bellman	
0.00132	   Digraph	005	011	   bellman	
0.00124	   Digraph	005	011	   bellman	
0.00125	   Digraph	005	011	   bellman	
0.00121	   Digraph	005	011	   bellman	
0.00124	   Digraph	005	011	   bellman	
0.00121	   Digraph	005	011	   bellman	
0.00126	   Digraph	005	011	   bellman	
0.00129	   Digraph	005	011	   bellman	
0.00125	   Digraph	005	011	   bellman	
0.00648	   Digraph	005	011	   bellman	
0.00113	   Digraph	005	011	   bellman	
0.00113	   Digraph	005	011	   bellman	
0.00112	   Digraph	005	011	   bellman	
0.00118	   Digraph	005	011	   bellman	
0.00113	   Digraph	005	011	   bellman	
0.00116	   Digraph	005	011	   bellman	
0.00122	   Digraph	005	011	   bellman	
0.00117	   Digraph	005	011	   bellman	
0.00126	   Digraph	005	011	   bellman	
0.00114	   Digraph	005	011	   bellman	
0.00124	   Digraph	005	011	   bellman	
0.00128	   Digraph	005	011	   bellman	
0.00119	   Digraph	005	011	   bellman	
0.00136	   Digraph	005	011	   bellman	
0.00117	   Digraph	005	011	   bellman	
0.00116	   Digraph	005	011	   bellman	
0.01000	   Digraph	005	011	   bellman	
0.00107	   Digraph	005	011	   bellman	
0.00108	   Digraph	005	011	   bellman	
0.00106	   Digraph	005	011	   bellman	
0.00107	   Digraph	005	011	   bellman	
0.00113	   Digraph	005	011	   bellman	
0.00102	   Digraph	005	011	   bellman	
0.00095	   Digraph	005	011	   bellman	
0.00105	   Digraph	005	011	   bellman	
0.00100	   Digraph	005	011	   bellman	
0.00100	   Digraph	005	011	   bellman	
0.00097	   Digraph	005	011	   bellman	
0.00095	   Digraph	005	011	   bellman	
0.00097	   Digraph	005	011	   bellman	
0.00095	   Digraph	005	011	   bellman	
0.00104	   Digraph	005	011	   bellman	
0.00107	   Digraph	005	011	   bellman	
0.00103	   Digraph	005	011	   bellman	
0.00108	   Digraph	005	011	   bellman	
0.00575	   Digraph	005	011	   bellman	
0.00115	   Digraph	005	011	   bellman	
0.00129	   Digraph	005	011	   bellman	
0.00115	   Digraph	005	011	   bellman	
0.00113	   Digraph	005	011	   bellman	
0.00114	   Digraph	005	011	   bellman	
0.00125	   Digraph	005	011	   bellman	
0.00119	   Digraph	005	011	   bellman	
0.00120	   Digraph	005	011	   bellman	
0.00131	   Digraph	005	011	   bellman	
0.00113	   Digraph	005	011	   bellman	
0.00114	   Digraph	005	011	   bellman	
0.00112	   Digraph	005	011	   bellman	
0.00114	   Digraph	005	011	   bellman	
0.00115	   Digraph	005	011	   bellman	
0.00118	   Digraph	005	011	   bellman	
0.00120	   Digraph	005	011	   bellman	
0.00116	   Digraph	005	011	   bellman	
0.00117	   Digraph	005	011	   bellman	
0.00121	   Digraph	005	011	   bellman	
0.00608	   Digraph	005	011	   bellman	
0.00114	   Digraph	005	011	   bellman	
0.00126	   Digraph	005	011	   bellman	
0.00124	   Digraph	005	011	   bellman	
0.00132	   Digraph	005	011	   bellman	
0.00133	   Digraph	005	011	   bellman	
0.00119	   Digraph	005	011	   bellman	
0.00124	   Digraph	005	011	   bellman	
0.00120	   Digraph	005	011	   bellman	
0.00120	   Digraph	005	011	   bellman	
0.00124	   Digraph	005	011	   bellman	
0.00058	   Digraph	005	011	  dijkstra	
0.00052	   Digraph	005	011	  dijkstra	
0.00050	   Digraph	005	011	  dijkstra	
0.00055	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00049	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00050	   Digraph	005	011	  dijkstra	
0.00050	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00063	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00062	   Digraph	005	011	  dijkstra	
0.00076	   Digraph	005	011	  dijkstra	
0.00056	   Digraph	005	011	  dijkstra	
0.00078	   Digraph	005	011	  dijkstra	
0.00078	   Digraph	005	011	  dijkstra	
0.00074	   Digraph	005	011	  dijkstra	
0.00087	   Digraph	005	011	  dijkstra	
0.00066	   Digraph	005	011	  dijkstra	
0.00054	   Digraph	005	011	  dijkstra	
0.00079	   Digraph	005	011	  dijkstra	
0.00085	   Digraph	005	011	  dijkstra	
0.00078	   Digraph	005	011	  dijkstra	
0.00052	   Digraph	005	011	  dijkstra	
0.00047	   Digraph	005	011	  dijkstra	
0.00052	   Digraph	005	011	  dijkstra	
0.00051	   Digraph	005	011	  dijkstra	
0.00055	   Digraph	005	011	  dijkstra	
