AVG	STDV	MIN	MAX	GRAPH	V	E	DT
0.00130	0.00004	0.00126	0.00143	   Digraph	050	110	       vec	
0.00162	0.00022	0.00152	0.00375	   Digraph	050	111	      fibo	
0.00161	0.00004	0.00153	0.00169	   Digraph	050	111	       bin	
0.00126	0.00003	0.00122	0.00132	   Digraph	050	111	       vec	
0.00182	0.00004	0.00175	0.00197	   Digraph	050	112	      fibo	
0.00195	0.00005	0.00187	0.00236	   Digraph	050	112	       bin	
0.00134	0.00021	0.00128	0.00336	   Digraph	050	112	       vec	
0.00168	0.00005	0.00161	0.00185	   Digraph	050	113	      fibo	
0.00182	0.00003	0.00175	0.00188	   Digraph	050	113	       bin	
0.00131	0.00004	0.00127	0.00138	   Digraph	050	113	       vec	
0.00119	0.00004	0.00111	0.00139	   Digraph	050	114	      fibo	
0.00091	0.00022	0.00081	0.00311	   Digraph	050	114	       bin	
0.00115	0.00003	0.00110	0.00120	   Digraph	050	114	       vec	
0.00183	0.00005	0.00174	0.00201	   Digraph	050	115	      fibo	
0.00190	0.00006	0.00181	0.00241	   Digraph	050	115	       bin	
0.00132	0.00005	0.00128	0.00163	   Digraph	050	115	       vec	
0.00187	0.00025	0.00177	0.00427	   Digraph	050	116	      fibo	
0.00187	0.00011	0.00178	0.00268	   Digraph	050	116	       bin	
0.00134	0.00010	0.00127	0.00182	   Digraph	050	116	       vec	
0.00190	0.00007	0.00181	0.00224	   Digraph	050	117	      fibo	
0.00195	0.00011	0.00185	0.00281	   Digraph	050	117	       bin	
0.00134	0.00006	0.00129	0.00164	   Digraph	050	117	       vec	
0.00181	0.00032	0.00169	0.00494	   Digraph	050	118	      fibo	
0.00189	0.00010	0.00179	0.00226	   Digraph	050	118	       bin	
0.00132	0.00005	0.00128	0.00159	   Digraph	050	118	       vec	
0.00179	0.00005	0.00171	0.00198	   Digraph	050	119	      fibo	
0.00190	0.00006	0.00181	0.00222	   Digraph	050	119	       bin	
0.00134	0.00021	0.00127	0.00337	   Digraph	050	119	       vec	
0.00184	0.00005	0.00177	0.00208	   Digraph	050	120	      fibo	
0.00195	0.00005	0.00186	0.00218	   Digraph	050	120	       bin	
0.00132	0.00004	0.00128	0.00138	   Digraph	050	120	       vec	
0.00181	0.00005	0.00173	0.00198	   Digraph	050	121	      fibo	
0.00194	0.00021	0.00184	0.00400	   Digraph	050	121	       bin	
0.00132	0.00004	0.00128	0.00151	   Digraph	050	121	       vec	
0.00182	0.00004	0.00175	0.00205	   Digraph	050	122	      fibo	
0.00199	0.00005	0.00191	0.00235	   Digraph	050	122	       bin	
0.00133	0.00003	0.00129	0.00140	   Digraph	050	122	       vec	
0.00124	0.00022	0.00113	0.00335	   Digraph	050	123	      fibo	
0.00091	0.00006	0.00083	0.00131	   Digraph	050	123	       bin	
0.00116	0.00003	0.00110	0.00121	   Digraph	050	123	       vec	
0.00182	0.00008	0.00174	0.00236	   Digraph	050	124	      fibo	
0.00192	0.00011	0.00180	0.00234	   Digraph	050	124	       bin	
0.00133	0.00008	0.00127	0.00173	   Digraph	050	124	       vec	
0.00180	0.00030	0.00167	0.00447	   Digraph	050	125	      fibo	
0.00198	0.00011	0.00189	0.00291	   Digraph	050	125	       bin	
0.00136	0.00008	0.00130	0.00193	   Digraph	050	125	       vec	
0.00126	0.00013	0.00113	0.00204	   Digraph	050	126	      fibo	
0.00093	0.00021	0.00083	0.00298	   Digraph	050	126	       bin	
0.00118	0.00014	0.00111	0.00254	   Digraph	050	126	       vec	
0.00121	0.00006	0.00113	0.00158	   Digraph	050	127	      fibo	
0.00091	0.00005	0.00083	0.00121	   Digraph	050	127	       bin	
0.00117	0.00004	0.00111	0.00132	   Digraph	050	127	       vec	
0.00196	0.00024	0.00182	0.00401	   Digraph	050	128	      fibo	
0.00207	0.00004	0.00199	0.00237	   Digraph	050	128	       bin	
0.00136	0.00003	0.00131	0.00142	   Digraph	050	128	       vec	
0.00186	0.00005	0.00178	0.00201	   Digraph	050	129	      fibo	
0.00197	0.00003	0.00191	0.00213	   Digraph	050	129	       bin	
0.00133	0.00004	0.00129	0.00153	   Digraph	050	129	       vec	
0.00123	0.00017	0.00114	0.00286	   Digraph	050	130	      fibo	
0.00093	0.00007	0.00084	0.00130	   Digraph	050	130	       bin	
0.00119	0.00006	0.00112	0.00148	   Digraph	050	130	       vec	
0.00183	0.00009	0.00172	0.00221	   Digraph	050	131	      fibo	
