TIME GRAPH   ORDER   SIZE    AG
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00005	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00004	   Digraph	005	011	     fbell	
0.00011	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
