AVG	STDV	MIN	MAX	GRAPH	V	E	DT
0.00557	0.00102	0.00536	0.01546	   Digraph	121	180	       vec	
0.00299	0.00035	0.00278	0.00496	   Digraph	122	180	      fibo	
0.00211	0.00103	0.00187	0.01192	   Digraph	122	180	       bin	
0.00518	0.00023	0.00503	0.00719	   Digraph	122	180	       vec	
0.00461	0.00076	0.00430	0.01122	   Digraph	123	180	      fibo	
0.00433	0.00035	0.00416	0.00632	   Digraph	123	180	       bin	
0.00572	0.00083	0.00555	0.01359	   Digraph	123	180	       vec	
0.00311	0.00097	0.00275	0.01167	   Digraph	124	180	      fibo	
0.00215	0.00097	0.00190	0.01130	   Digraph	124	180	       bin	
0.00533	0.00022	0.00520	0.00738	   Digraph	124	180	       vec	
0.00306	0.00065	0.00281	0.00856	   Digraph	125	180	      fibo	
0.00214	0.00090	0.00192	0.01058	   Digraph	125	180	       bin	
0.00545	0.00028	0.00528	0.00739	   Digraph	125	180	       vec	
0.00309	0.00049	0.00285	0.00642	   Digraph	126	180	      fibo	
0.00217	0.00104	0.00193	0.01202	   Digraph	126	180	       bin	
0.00551	0.00028	0.00536	0.00746	   Digraph	126	180	       vec	
0.00441	0.00094	0.00405	0.01258	   Digraph	127	180	      fibo	
0.00403	0.00035	0.00383	0.00602	   Digraph	127	180	       bin	
0.00601	0.00097	0.00583	0.01543	   Digraph	127	180	       vec	
0.00315	0.00101	0.00282	0.01177	   Digraph	128	180	      fibo	
0.00236	0.00100	0.00212	0.01192	   Digraph	128	180	       bin	
0.00569	0.00029	0.00554	0.00767	   Digraph	128	180	       vec	
0.00430	0.00072	0.00398	0.01017	   Digraph	129	180	      fibo	
0.00405	0.00028	0.00388	0.00602	   Digraph	129	180	       bin	
0.00615	0.00093	0.00596	0.01515	   Digraph	129	180	       vec	
0.00434	0.00042	0.00409	0.00664	   Digraph	130	180	      fibo	
0.00407	0.00087	0.00382	0.01222	   Digraph	130	180	       bin	
0.00624	0.00100	0.00605	0.01598	   Digraph	130	180	       vec	
0.00336	0.00093	0.00300	0.01148	   Digraph	131	180	      fibo	
0.00233	0.00100	0.00209	0.01182	   Digraph	131	180	       bin	
0.00590	0.00021	0.00576	0.00789	   Digraph	131	180	       vec	
0.00325	0.00040	0.00297	0.00523	   Digraph	132	180	      fibo	
0.00227	0.00093	0.00201	0.01078	   Digraph	132	180	       bin	
0.00607	0.00100	0.00579	0.01576	   Digraph	132	180	       vec	
0.00409	0.00039	0.00384	0.00610	   Digraph	133	180	      fibo	
0.00406	0.00097	0.00374	0.01307	   Digraph	133	180	       bin	
0.00643	0.00031	0.00629	0.00860	   Digraph	133	180	       vec	
0.00335	0.00103	0.00299	0.01209	   Digraph	134	180	      fibo	
0.00231	0.00103	0.00205	0.01215	   Digraph	134	180	       bin	
0.00616	0.00029	0.00600	0.00819	   Digraph	134	180	       vec	
0.00371	0.00079	0.00338	0.01067	   Digraph	135	180	      fibo	
0.00311	0.00104	0.00284	0.01282	   Digraph	135	180	       bin	
0.00648	0.00028	0.00631	0.00847	   Digraph	135	180	       vec	
0.00343	0.00073	0.00311	0.00943	   Digraph	136	180	      fibo	
0.00232	0.00097	0.00207	0.01149	   Digraph	136	180	       bin	
0.00634	0.00027	0.00619	0.00824	   Digraph	136	180	       vec	
0.00342	0.00041	0.00315	0.00552	   Digraph	137	180	      fibo	
0.00234	0.00033	0.00216	0.00431	   Digraph	137	180	       bin	
0.00646	0.00028	0.00628	0.00840	   Digraph	137	180	       vec	
0.00355	0.00071	0.00316	0.00866	   Digraph	138	180	      fibo	
0.00260	0.00036	0.00241	0.00481	   Digraph	138	180	       bin	
0.00659	0.00032	0.00641	0.00901	   Digraph	138	180	       vec	
0.00343	0.00039	0.00319	0.00539	   Digraph	139	180	      fibo	
0.00238	0.00093	0.00211	0.01098	   Digraph	139	180	       bin	
0.00659	0.00028	0.00642	0.00851	   Digraph	139	180	       vec	
0.00346	0.00049	0.00320	0.00694	   Digraph	140	180	      fibo	
0.00235	0.00033	0.00219	0.00429	   Digraph	140	180	       bin	
0.00671	0.00028	0.00650	0.00865	   Digraph	140	180	       vec	
0.00347	0.00049	0.00322	0.00696	   Digraph	141	180	      fibo	
0.00241	0.00034	0.00221	0.00436	   Digraph	141	180	       bin	
0.00682	0.00028	0.00662	0.00880	   Digraph	141	180	       vec	
0.00351	0.00048	0.00326	0.00696	   Digraph	142	180	      fibo	
0.00239	0.00033	0.00222	0.00434	   Digraph	142	180	       bin	
0.00689	0.00028	0.00672	0.00880	   Digraph	142	180	       vec	
0.00358	0.00049	0.00333	0.00710	   Digraph	143	180	      fibo	
0.00261	0.00034	0.00243	0.00465	   Digraph	143	180	       bin	
0.00705	0.00028	0.00686	0.00903	   Digraph	143	180	       vec	
0.00354	0.00049	0.00328	0.00703	   Digraph	144	180	      fibo	
0.00243	0.00033	0.00225	0.00444	   Digraph	144	180	       bin	
0.00707	0.00027	0.00683	0.00899	   Digraph	144	180	       vec	
0.00356	0.00048	0.00331	0.00680	   Digraph	145	180	      fibo	
0.00250	0.00105	0.00222	0.01234	   Digraph	145	180	       bin	
0.00711	0.00029	0.00692	0.00917	   Digraph	145	180	       vec	
0.00354	0.00047	0.00328	0.00679	   Digraph	146	180	      fibo	
0.00246	0.00034	0.00227	0.00447	   Digraph	146	180	       bin	
0.00722	0.00029	0.00700	0.00923	   Digraph	146	180	       vec	
0.00468	0.00053	0.00436	0.00797	   Digraph	147	180	      fibo	
0.00421	0.00034	0.00401	0.00612	   Digraph	147	180	       bin	
0.00776	0.00029	0.00756	0.00982	   Digraph	147	180	       vec	
0.00373	0.00086	0.00339	0.01109	   Digraph	148	180	      fibo	
0.00246	0.00028	0.00228	0.00441	   Digraph	148	180	       bin	
0.00742	0.00019	0.00728	0.00921	   Digraph	148	180	       vec	
0.00368	0.00044	0.00342	0.00577	   Digraph	149	180	      fibo	
0.00258	0.00099	0.00232	0.01196	   Digraph	149	180	       bin	
0.00752	0.00027	0.00734	0.00949	   Digraph	149	180	       vec	
0.00378	0.00047	0.00349	0.00617	   Digraph	150	180	      fibo	
0.00283	0.00035	0.00264	0.00484	   Digraph	150	180	       bin	
