0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00011	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00012	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00011	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00023	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00028	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00027	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00489	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00026	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00026	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00027	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00028	   Digraph	005	012	      bell	
0.00027	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00028	   Digraph	005	012	      bell	
0.00031	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00028	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00015	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00016	   Digraph	005	012	      dijk	
0.00022	   Digraph	005	012	      dijk	
0.00018	   Digraph	005	012	      dijk	
0.00019	   Digraph	005	012	      dijk	
0.00020	   Digraph	005	012	      dijk	
0.00018	   Digraph	005	012	      dijk	
0.00021	   Digraph	005	012	      dijk	
0.00018	   Digraph	005	012	      dijk	
0.00017	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00010	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00012	   Digraph	005	012	      dijk	
0.00011	   Digraph	005	012	      dijk	
0.00013	   Digraph	005	012	      dijk	
